18
13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
77	74	0	0	0	0	0	0	0	0	88	89	89	89	89	89	90	73
2	74	0	0	0	0	0	0	0	0	0	18	20	24	27	25	0	73
2	77	0	0	0	0	0	0	0	88	89	89	89	89	89	90	0	73
2	74	0	0	0	0	0	0	0	0	18	23	24	21	25	0	0	73
2	74	0	0	0	0	0	0	0	0	0	23	24	20	27	0	77	73
2	74	77	77	77	77	77	77	77	77	77	77	77	77	77	77	3	3
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
